model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
KIT-TSMixer,2025-01-16,are,2025-01-16-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,102,TRUE,Retrospective
KIT-hhh4,2025-01-16,are,2025-01-16-agi-are-KIT-hhh4.csv,2025-01-17,2025-06-10,agi,145,TRUE,Prospective
KIT-simple_nowcast,2025-01-16,are,2025-01-16-agi-are-KIT-simple_nowcast.csv,2025-01-17,2025-01-17,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-16,are,2025-01-16-agi-are-MPIDS-PS_embedding.csv,2025-01-19,2025-06-10,agi,145,TRUE,Prospective
KIT-LightGBM,2025-01-23,are,2025-01-23-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,91,TRUE,Retrospective
KIT-TSMixer,2025-01-23,are,2025-01-23-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,95,TRUE,Retrospective
KIT-hhh4,2025-01-23,are,2025-01-23-agi-are-KIT-hhh4.csv,2025-01-24,2025-06-10,agi,138,TRUE,Prospective
KIT-simple_nowcast,2025-01-23,are,2025-01-23-agi-are-KIT-simple_nowcast.csv,2025-01-24,2025-01-24,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-23,are,2025-01-23-agi-are-MPIDS-PS_embedding.csv,2025-01-23,2025-06-10,agi,138,TRUE,Prospective
KIT-LightGBM,2025-01-30,are,2025-01-30-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,84,TRUE,Retrospective
KIT-TSMixer,2025-01-30,are,2025-01-30-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,88,TRUE,Retrospective
KIT-hhh4,2025-01-30,are,2025-01-30-agi-are-KIT-hhh4.csv,2025-01-31,2025-06-10,agi,131,TRUE,Prospective
KIT-simple_nowcast,2025-01-30,are,2025-01-30-agi-are-KIT-simple_nowcast.csv,2025-01-31,2025-01-31,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-30,are,2025-01-30-agi-are-MPIDS-PS_embedding.csv,2025-01-30,2025-06-10,agi,131,TRUE,Prospective
KIT-LightGBM,2025-02-06,are,2025-02-06-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,77,TRUE,Retrospective
KIT-TSMixer,2025-02-06,are,2025-02-06-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,81,TRUE,Retrospective
KIT-hhh4,2025-02-06,are,2025-02-06-agi-are-KIT-hhh4.csv,2025-02-07,2025-06-10,agi,124,TRUE,Prospective
